時点,2日以上前,1日以上前,当日2時間以上前,当日1〜2時間前,当日1時間未満
R5.3,29.3,14.5,18.1,10.2,28.0
R6.3,30.8,16.4,17.3,13.3,22.1
R7.3,30.0,17.0,17.0,14.0,22.0
R8.3,33.0,19.0,16.0,12.0,20.0
