停留所,乗車,降車,合計
松尾10_フレンドマート日野店・関西みらい銀行,2843,2169,5012
上野田1_日野記念病院,1757,2248,4005
内池1_日野駅,1710,886,2596
松尾5_どひ整形外科クリニック,653,1057,1710
深山口5_南比都佐公民館・南比都佐小学校,1279,128,1407
河原2_日野町役場(正面入口),418,724,1142
甲賀市1_公立甲賀病院,292,806,1098
西大路1_近江日野商人ふるさと館「旧山中正吉邸」,441,513,954
曙12_曙りすの公園前,255,514,769
上駒月5_上駒月西の公園前,495,246,741
大窪5_八百助商店,380,319,699
曙5_曙集会所,216,450,666
下駒月3_谷出地蔵前,339,314,653
日田3_ディスカウントドラッグコスモス 蒲生日野店,382,214,596
曙8_曙ゴルフ場入口,334,254,588
