時点,区分,20歳未満,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,80歳代,90歳以上
R5.3,登録,2,1,3,5,6,13,45,24,1
R5.3,利用,1,3,4,5,4,7,38,31,7
R6.3,登録,5,2,3,4,5,12,37,29,3
R6.3,利用,7,4,3,4,5,8,28,37,4
R7.3,登録,7,3,3,5,6,12,32,28,4
R7.3,利用,10,5,5,4,5,8,24,33,6
R8.3,登録,15,8,5,7,8,12,35,4,6
R8.3,利用,13,7,6,5,6,8,20,28,7
