時点,8時台,9時台,10時台,11時台,12時台,13時台,14時台,15時台,16時台
R6.3,17,14,16,13,9,9,8,7,7
R7.3,15,14,16,12,10,9,9,7,8
R8.3,13,15,13,12,9,9,10,8,11
