時点,期間,登録会員数,利用会員数,利用件数,利用人数,1日当たり利用件数,1日当たり利用人数,乗合率,登録男性,登録女性,利用男性,利用女性,WEB予約率,電話予約率,路線数
R5.3,R5.3.1〜R5.3.31,533,76,304,,13.8,,1.24,228,305,23,53,26,74,2
R6.3,R5.3.1〜R6.3.31,975,301,5634,3516,21.3,13.3,1.23,400,575,95,206,28,72,3
R7.3,R5.3.1〜R7.3.31,1471,452,11615,7247,22.9,14.3,1.30,561,910,144,308,33,67,3
R8.3,R5.3.1〜R8.3.31,2271,760,22489,14359,38.9,19.2,1.37,799,1472,234,526,37,63,4
